name;stars;pr merged;main language;releases;age in days;minutes w/o update;% closed issues;id
freeCodeCamp;365122;19703;TypeScript;0;3046;57.46368388333334;99.0;1
free-programming-books;277509;5618;;0;3485;7.813684333333333;97.0;2
996.ICU;265653;1063;;0;1493;105.94701794999999;0.0;3
coding-interview-university;255576;364;;0;2516;25.08035153333333;89.0;4
awesome;251342;614;;0;3212;11.6136851;93.0;5
developer-roadmap;238106;1516;Astro;1;2234;28.063685333333336;75.0;6
public-apis;237673;1871;Python;0;2594;6.413685566666667;90.0;7
system-design-primer;218750;196;Python;0;2251;24.48035245;29.0;8
react;206508;9049;JavaScript;99;3625;5.663686;92.0;9
vue;203349;1119;TypeScript;245;3559;5.74701955;96.0;10
build-your-own-x;199333;113;;0;1814;5.1303531;69.0;11
tensorflow;173827;15903;C++;188;2728;6.280353316666666;95.0;12
javascript-algorithms;169160;282;JavaScript;0;1860;7.630353533333333;65.0;13
You-Dont-Know-JS;167117;356;;0;3449;165.3303537333333;91.0;14
awesome-python;165931;533;Python;0;3226;4.93035395;96.0;15
CS-Notes;163760;375;;0;1899;5.3136875;79.0;16
bootstrap;163113;8320;JavaScript;85;4290;8.813687700000001;99.0;17
ohmyzsh;158216;2877;Shell;0;4990;45.36368795;95.0;18
Python;157943;2204;Python;0;2476;7.2470215;98.0;19
flutter;152562;30832;Dart;0;2974;15.763688383333333;86.0;20
linux;150430;9;C;0;4253;6.180355266666667;0.0;21
gitignore;147335;1523;;0;4553;91.49702223333334;0.0;22
vscode;145537;16773;TypeScript;98;2793;13.130355799999998;96.0;23
computer-science;138456;240;;0;3280;20.297022666666667;98.0;24
the-art-of-command-line;135527;313;;0;2899;35.297022883333334;55.0;25
Python-100-Days;135262;12;Python;0;1883;96.99702309999999;17.0;26
javascript;133441;792;JavaScript;0;3829;6.1636899666666665;92.0;27
JavaGuide;133197;798;Java;0;1816;7.6970235;92.0;28
awesome-selfhosted;128888;2158;Makefile;0;2887;20.063690366666666;93.0;29
youtube-dl;119918;1603;Python;341;4561;8.880357233333333;85.0;30
Auto-GPT;117483;525;Python;7;42;4.713690766666667;75.0;31
fucking-algorithm;115692;225;Markdown;1;1163;37.96369096666667;58.0;32
30-seconds-of-code;110913;755;JavaScript;4;1975;22.66369116666667;100.0;33
go;110792;1;Go;0;3173;4.98035805;86.0;34
react-native;109217;685;Java;252;3030;10.847024916666667;93.0;35
electron;107066;16962;C++;1000;3667;102.64702511666665;95.0;36
d3;105155;439;JavaScript;192;4595;35.997025316666665;100.0;37
next.js;105124;12297;JavaScript;1000;2395;50.44702551666667;90.0;38
free-programming-books-zh_CN;102085;280;;3;3461;16.580359050000002;0.0;39
awesome-go;100561;2944;Go;0;3217;44.34702591666667;99.0;40
project-based-learning;100280;182;;0;2206;7.93035945;77.0;41
axios;99953;744;JavaScript;60;3174;50.4470263;91.0;42
create-react-app;99582;1942;JavaScript;83;2475;91.49702649999999;81.0;43
kubernetes;97913;54899;Go;598;3247;7.8970267;96.0;44
transformers;96872;9253;Python;115;1641;18.580360233333334;95.0;45
the-book-of-secret-knowledge;96275;122;;0;1769;10.530360433333334;0.0;46
node;95010;6100;JavaScript;340;3074;7.3970273;92.0;47
three.js;91120;10768;JavaScript;144;4783;115.86369418333334;97.0;48
TypeScript;90719;12956;TypeScript;175;3236;15.080361049999999;84.0;49
tech-interview-handbook;90069;433;TypeScript;0;2487;11.98036125;78.0;50
PowerToys;90033;3897;C#;79;1457;54.7636948;77.0;51
deno;89103;8282;Rust;224;1808;25.480361683333335;84.0;52
nodebestpractices;88885;754;Dockerfile;0;2050;13.680361883333335;92.0;53
terminal;88536;3170;C++;89;2085;30.930362116666668;87.0;54
angular;87727;3358;TypeScript;268;3143;34.18036315;95.0;55
material-ui;86108;15361;JavaScript;405;3174;15.613697266666666;93.0;56
ant-design;85626;10924;TypeScript;575;2925;334.9803648166666;97.0;57
puppeteer;82898;3189;TypeScript;217;2179;33.68036528333333;96.0;58
vue-element-admin;82046;313;Vue;49;2201;25.2136989;66.0;59
clean-code-javascript;81827;149;JavaScript;0;2344;26.047032466666668;59.0;60
scrcpy;81637;66;C;30;1983;89.36369934999999;63.0;61
java-design-patterns;81307;1078;Java;0;3183;14.763699566666666;78.0;62
rust;80752;47226;Rust;112;4698;15.313699783333334;82.0;63
storybook;78244;8200;TypeScript;1000;2596;5.463700033333334;81.0;64
animate.css;77668;313;CSS;22;4215;8.113700266666667;97.0;65
thefuck;77084;478;Python;17;2941;80.18036756666667;68.0;66
